城市,区域,岗位名称,薪资待遇,应聘条件,公司名称,公司简介,公司业务,福利待遇
"广州","越秀区","java开发工程师","8k-12k","经验1年以下 / 本科","广东智源","""软件服务｜咨询","IT技术服务｜咨询 / 不需要融资 / 50-150人""",""
"广州","越秀区","Java高级开发工程师","10k-20k","经验5-10年 / 本科","屈臣氏中国","新零售 / 不需要融资 / 2000人以上","","“六险一金 年底双薪 年终奖 工会/节日福利”"
"广州","越秀区","Java开发工程师","10k-20k","经验3-5年 / 本科","普睿德利","""IT技术服务｜咨询","软件服务｜咨询","数据服务｜咨询 / 未融资 / 50-150人"""
"广州","越秀区","服务端开发工程师（JAVA）","15k-25k","经验1-3年 / 本科","建信金科","科技金融 / 不需要融资 / 2000人以上","","“银行系金融科技公司、六险一金、餐补”"
"广州","越秀区","高级java开发工程师","20k-40k","经验5-10年 / 本科","建信金科","科技金融 / 不需要融资 / 2000人以上","","“银行系金融科技公司、六险一金、餐补”"
"广州","越秀区","java后台开发工程师","6k-12k","经验1年以下 / 本科","广东智源","""软件服务｜咨询","IT技术服务｜咨询 / 不需要融资 / 50-150人""",""
"广州","越秀区","Java开发经理","20k-27k","经验5-10年 / 本科","屈臣氏中国","新零售 / 不需要融资 / 2000人以上","","“六险一金 年底双薪 额外年终奖 工会节日福利”"
"广州","越秀区","java开发工程师（广银）","12k-16k","经验3-5年 / 本科","京北方","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“银行，贷款”"
"广州","越秀区","Java Web 开发工程师","20k-40k","经验1-3年 / 本科","南方报业","文化传媒 / 不需要融资 / 2000人以上","","“福利待遇好、发展前景好”"
"广州","越秀区","高级java开发工程师-社交方向","12k-18k","经验3-5年 / 本科","久邦GOMO","""游戏","工具类产品 / 不需要融资 / 500-2000人""",""
"广州","越秀区","java开发工程师","20k-30k","经验3-5年 / 本科","中湘科技","""软件服务｜咨询","IT技术服务｜咨询","营销服务｜咨询 / D轮及以上 / 150-500人"""
"广州","越秀区","高级java工程师","15k-30k","经验5-10年 / 本科","南方报业","文化传媒 / 不需要融资 / 2000人以上","","“环境佳，平台大，机会多”"
"广州","越秀区","Java研发实习生","3k-4k","经验在校/应届 / 大专","八斗科技","""数据服务｜咨询","区块链 / 未融资 / 15-50人""",""
"广州","越秀区","java开发工程师（实习生/应届生）","3k-4k","经验在校/应届 / 不限","巴图鲁公司","汽车交易平台 / C轮 / 500-2000人","","""“弹性上班制"
"广州","越秀区","java架构师/技术专家","28k-36k","经验10年以上 / 本科","友邦科技","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“福利好 氛围佳”"
"广州","越秀区","Java 开发工程师","8k-12k","经验1-3年 / 大专","大医汇、医学百事通、弘康医疗","医疗｜保健｜美容 / 不需要融资 / 150-500人","","""“五险一金"
"广州","越秀区","java开发工程师","20k-25k","经验5-10年 / 本科","森聚人力资源管理","""软件服务｜咨询","数据服务｜咨询","专业服务｜咨询 / 未融资 / 50-150人"""
