城市,区域,岗位名称,薪资待遇,应聘条件,公司名称,公司简介,公司业务,福利待遇
"广州","天河区","java开发工程师","8k-12k","经验1-3年 / 本科","联奕科技","营销服务｜咨询 / 上市公司 / 500-2000人","","“福利齐全，稳定的发展平台”"
"广州","天河区","java开发工程师","3k-5k","经验在校/应届 / 本科","德财软件","""软件服务｜咨询","IT技术服务｜咨询 / 未融资 / 少于15人""",""
"广州","天河区","java开发工程师","7k-14k","经验1-3年 / 大专","德财软件","""软件服务｜咨询","IT技术服务｜咨询 / 未融资 / 少于15人""",""
"广州","天河区","java开发工程师","15k-25k","经验3-5年 / 大专","Brain","""工具类产品","IT技术服务｜咨询","专业服务｜咨询 / 不需要融资 / 15-50人"""
"广州","天河区","中高级Java开发工程师（硕士）","17k-26k","经验1-3年 / 硕士","广州市高科通信技术股份有限公司","其他 / 不需要融资 / 150-500人","","""“五险一金"
"广州","天河区","java开发工程师(实习岗)","3k-6k","经验在校/应届 / 本科","广州迎风","""数据服务｜咨询","人工智能服务 / 不需要融资 / 50-150人""",""
"广州","天河区","java后端开发工程师 (MJ000453)","12k-20k","经验3-5年 / 本科","融捷投资控股集团有限公司","新能源汽车制造 / 不需要融资 / 2000人以上","","""“通讯补贴"
"广州","天河区","Java开发（大数据方向）","10k-15k","经验3-5年 / 本科","众天科技","""软件服务｜咨询","数据服务｜咨询 / 不需要融资 / 50-150人""",""
"广州","天河区","Java开发","15k-30k","经验1-3年 / 本科","兴业银行股份有限公司广州分行","金融业 / 不需要融资 / 少于15人","","""“五险一金"
"广州","天河区","java全栈开发工程师","8k-10k","经验1-3年 / 本科","广州有道科技有限公司","","","""“五险一金"
"广州","天河区","初级java工程师","10k-18k","经验不限 / 大专","郑州有水则灵科技有限公司","","","""“五险一金"
"广州","天河区","Java 工程师","10k-15k","经验3-5年 / 本科","广州迎风","""数据服务｜咨询","人工智能服务 / 不需要融资 / 50-150人""",""
"广州","天河区","Java开发工程师","10k-14k","经验3-5年 / 大专","成达文化","","","""“五险一金"
"广州","天河区","Java开发工程师","14k-15k","经验3-5年 / 本科","众时科技","","","""“五险一金"
"广州","天河区","JAVA工程师","15k-30k","经验3-5年 / 本科","拉勾集团","""工具类产品","在线教育 / D轮及以上 / 500-2000人""",""
"广州","天河区","java开发工程师","8k-14k","经验1-3年 / 本科","广州鸣逸","物联网 / 未融资 / 15-50人","","“发展潜力大”"
"城市","区域","岗位名称","","薪资及要求","公司名称","公司简介","公司业务","福利待遇"
"广州","越秀区","中级/高级java工程师","25k-35k","经验5-10年 / 本科","中湘科技","""软件服务｜咨询","IT技术服务｜咨询","营销服务｜咨询 / D轮及以上 / 150-500人"""
"广州","越秀区","java开发工程师","18k-35k","经验不限 / 本科","中湘科技","""软件服务｜咨询","IT技术服务｜咨询","营销服务｜咨询 / D轮及以上 / 150-500人"""
"广州","越秀区","国际Java开发工程师（英语开发环境）","15k-30k","经验3-5年 / 本科","龙腾出行","""生活服务","旅游｜出行 / 上市公司 / 150-500人""",""
"广州","越秀区","高级java开发工程师","15k-25k","经验3-5年 / 本科","龙腾出行","""生活服务","旅游｜出行 / 上市公司 / 150-500人""",""
"广州","越秀区","Java开发工程师","12k-16k","经验3-5年 / 本科","出版集团数字公司","在线教育 / 不需要融资 / 50-150人","","“朝九晚六 周末双休 节日福利 全额公积金”"
